treatment,learner,theta_mean,theta_std,theta_min,theta_max,n_runs
real_min_wage,ridge_numpy,-1.5595603602518983e-05,1.4949283192110518e-07,-1.5765518335762782e-05,-1.540170176488683e-05,3
real_min_wage,random_forest_custom,-8.151714266168352e-06,5.856597646227537e-07,-8.61170262232773e-06,-7.3252269414429415e-06,3
real_min_wage,gradient_boosting_custom,-6.685051728911809e-06,3.071224551971214e-07,-7.09995339503152e-06,-6.366341022951714e-06,3
log_real_min_wage,ridge_numpy,-50.481803402097974,0.5862036131997532,-51.14469789732654,-49.71921791639825,3
log_real_min_wage,random_forest_custom,-27.17896494107823,1.9772887629673284,-28.722571865962063,-24.387888212254737,3
log_real_min_wage,gradient_boosting_custom,-22.349175517562674,1.0347566385794813,-23.791566552734036,-21.414173947982597,3
min_wage_growth,ridge_numpy,-22.529341760636175,68.00288297902223,-111.04732426658273,54.28749370837191,3
min_wage_growth,random_forest_custom,-80.94956195390377,8.720031828225217,-87.84112505000154,-68.6472460273709,3
min_wage_growth,gradient_boosting_custom,-100.49511649381868,51.08560067830077,-144.17748097006609,-28.819245831692413,3
