treatment,learner,seed,theta,std_error,p_value,ci_lower,ci_upper
real_min_wage,ridge_numpy,42,-1.561959070690734e-05,5.288405860569886e-06,0.0031413794659865086,-2.5984675729254866e-05,-5.254505684559813e-06
real_min_wage,ridge_numpy,123,-1.540170176488683e-05,5.1896479808101695e-06,0.002999649046071394,-2.5573224899715774e-05,-5.230178630057883e-06
real_min_wage,ridge_numpy,2024,-1.5765518335762782e-05,5.4097945221088426e-06,0.0035653904928480058,-2.6368520762858186e-05,-5.162515908667377e-06
real_min_wage,random_forest_custom,42,-8.61170262232773e-06,3.600236599631801e-06,0.01675764542768903,-1.566803669342901e-05,-1.5553685512264495e-06
real_min_wage,random_forest_custom,123,-7.3252269414429415e-06,3.37330279767326e-06,0.02989116065410341,-1.3936778933830736e-05,-7.13674949055147e-07
real_min_wage,random_forest_custom,2024,-8.518213234734383e-06,3.3906868673926e-06,0.011996806560409315,-1.5163837377676817e-05,-1.8725890917919487e-06
real_min_wage,gradient_boosting_custom,42,-7.09995339503152e-06,3.6903941380520946e-06,0.05436697952822915,-1.4332992994371362e-05,1.3308620430832166e-07
real_min_wage,gradient_boosting_custom,123,-6.366341022951714e-06,3.7546654051059054e-06,0.0899651726670219,-1.372534999095778e-05,9.926679450543523e-07
real_min_wage,gradient_boosting_custom,2024,-6.588860768752191e-06,3.7591455895844276e-06,0.07964409141625314,-1.3956650736980257e-05,7.789291994758741e-07
log_real_min_wage,ridge_numpy,42,-50.58149439256914,16.795638374743902,0.00259887538765862,-83.50034070442604,-17.662648080712245
log_real_min_wage,ridge_numpy,123,-49.71921791639825,16.537592042332175,0.0026432938267249816,-82.13230271038552,-17.30613312241099
log_real_min_wage,ridge_numpy,2024,-51.14469789732654,17.23846443902908,0.0030082458447983165,-84.931467346598,-17.357928448055077
log_real_min_wage,random_forest_custom,42,-28.722571865962063,11.800911022904307,0.014935951406886246,-51.851932455616236,-5.593211276307894
log_real_min_wage,random_forest_custom,123,-24.387888212254737,11.105377855535265,0.02808885990773161,-46.15402884381251,-2.621747580696958
log_real_min_wage,random_forest_custom,2024,-28.42643474501788,11.249316351458969,0.011505861614199874,-50.47468964457498,-6.3781798454607745
log_real_min_wage,gradient_boosting_custom,42,-23.791566552734036,12.115831530269611,0.04956768755161378,-47.538159994817285,-0.04497311065078691
log_real_min_wage,gradient_boosting_custom,123,-21.414173947982597,12.144289833089413,0.07784785538101498,-45.21654463865379,2.3881967426885957
log_real_min_wage,gradient_boosting_custom,2024,-21.841786051971397,12.210484994752182,0.07365137858203133,-45.77389687545242,2.090324771509632
min_wage_growth,ridge_numpy,42,54.28749370837191,140.58169224066447,0.6993757134948371,-221.2475599690244,329.82254738576825
min_wage_growth,ridge_numpy,123,-10.828194723697706,126.95109763091028,0.9320274873553981,-259.64777387811006,237.99138443071462
min_wage_growth,ridge_numpy,2024,-111.04732426658273,121.21760985915977,0.35961500214012254,-348.6294738825633,126.53482534939778
min_wage_growth,random_forest_custom,42,-68.6472460273709,55.54529872121134,0.21650369268549874,-177.51403103146384,40.21953897672205
min_wage_growth,random_forest_custom,123,-86.36031478433887,55.92464683849126,0.12253350091673465,-195.97060843590356,23.249978867225806
min_wage_growth,random_forest_custom,2024,-87.84112505000154,52.152577315272694,0.0921217087956125,-190.05829828887664,14.376048188873568
min_wage_growth,gradient_boosting_custom,42,-128.48862267969756,91.6235154693107,0.16080949973171355,-308.067413136495,51.090167777099936
min_wage_growth,gradient_boosting_custom,123,-28.819245831692413,83.86401072908546,0.7311150911569051,-193.1896864597806,135.5511947963958
min_wage_growth,gradient_boosting_custom,2024,-144.17748097006609,88.39612771492715,0.10288221177472985,-317.4307076641262,29.075745723994032
